codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0014,0038,0041,0042,0048,0057,0128,0139,0141,0142,0144,0145,0147,0148,0161,0507,0564,0565,0566
04,Capital,001,0004 ,0086,375,0,5,0,17,101,6,3,2,3,1,3,1,2,1,2,0,0,1,0,6,12,4,65,10,2
04,Capital,001,0004 ,3639,378,6,8,3,17,100,1,2,5,1,0,5,0,8,0,8,1,0,3,0,13,5,6,70,11,2
04,Capital,001,0004 ,3640,378,5,11,0,5,109,2,3,4,6,4,7,1,3,0,3,2,0,1,4,4,3,5,59,11,14
04,Capital,001,0004 ,3641,378,8,5,0,19,109,3,2,4,0,2,4,3,1,5,0,2,0,0,1,6,17,2,66,12,0
04,Capital,001,0004 ,3642,378,4,1,0,12,97,1,2,4,0,5,5,2,1,7,2,2,3,1,1,11,0,3,67,8,12
04,Capital,001,0004 ,3643,378,5,3,2,11,96,4,0,1,1,7,5,1,1,3,1,2,2,1,5,5,3,5,69,5,14
04,Capital,001,0004 ,3644,378,6,2,1,6,119,1,4,3,3,6,0,2,4,0,1,4,0,1,0,13,10,3,60,8,6
04,Capital,001,0004 ,3645,378,3,6,0,24,112,2,3,1,0,1,0,2,7,0,0,3,0,2,0,12,0,4,71,5,13
04,Capital,001,0004 ,3646,378,5,0,5,7,110,0,2,2,5,4,0,0,9,1,0,2,3,0,2,7,10,2,58,10,3
04,Capital,001,0004 ,3647,378,5,0,2,7,106,5,4,5,6,4,9,0,1,0,3,1,2,0,1,9,3,2,57,6,16
04,Capital,001,0004 ,3648,378,4,5,2,9,98,8,3,4,2,0,1,3,0,2,0,4,2,1,3,7,7,3,58,11,4
04,Capital,001,0004 ,3649,378,2,6,4,7,110,0,2,4,9,2,3,3,4,1,1,0,2,0,1,6,5,3,71,12,5
04,Capital,001,0004 ,3650,378,5,5,0,21,101,5,1,0,6,6,2,0,1,1,3,1,2,1,2,3,0,4,73,6,5
04,Capital,001,0004 ,3651,378,6,10,1,16,120,4,3,2,3,1,1,3,3,2,2,1,1,2,1,8,2,1,71,7,7
04,Capital,001,0004 ,3652,378,6,4,2,9,92,9,2,2,4,4,1,0,1,2,2,1,1,1,1,14,13,4,80,12,2
04,Capital,001,0004 ,3653,378,2,3,1,16,117,1,1,5,2,3,4,3,0,2,1,1,2,1,0,6,4,0,58,11,12
04,Capital,001,0004 ,3654,378,8,3,2,16,113,0,4,1,4,1,1,2,5,6,0,2,2,0,2,5,3,4,63,7,4
04,Capital,001,0004 ,3655,378,1,6,1,12,109,1,2,6,5,5,2,3,1,5,1,1,0,0,1,15,3,2,66,9,7
04,Capital,001,0004 ,3656,378,6,2,2,5,111,1,5,2,7,6,1,2,6,4,1,1,2,0,6,2,3,2,60,13,4
04,Capital,001,0004 ,3657,378,7,3,3,15,105,3,2,1,9,4,2,0,3,3,3,5,2,2,1,3,5,0,60,18,5
04,Capital,001,0004 ,3658,378,6,8,0,5,105,3,2,0,6,1,2,6,2,2,2,3,0,3,1,11,11,1,72,4,5
04,Capital,001,0004 ,3659,378,3,7,1,7,110,4,1,1,1,3,4,3,2,2,2,1,1,0,5,11,4,4,77,4,5
04,Capital,001,0004A,0087,374,6,0,1,11,71,4,5,3,2,2,9,4,1,5,6,3,2,0,8,7,2,4,101,13,15
04,Capital,001,0004A,0088,374,2,1,2,16,88,0,2,3,7,1,2,4,1,8,0,1,3,4,0,5,5,3,88,18,7
04,Capital,001,0004A,0089,374,0,0,2,22,96,2,0,2,3,0,1,1,4,1,0,2,1,0,1,6,6,0,88,15,4
