codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0022,0048,0058,0101,0233,0234,0236,0237,0238,0239,0240,0241
23,Capital                                 ,001,0009A,0132,375,4,5,4,3,8,1,183,15,7,0,0,15,1,21,17
23,Capital                                 ,001,0009A,0133,374,0,4,4,3,6,0,180,17,4,0,0,16,6,13,22
23,Capital                                 ,001,0009A,0134,374,2,13,2,1,9,3,164,13,5,0,0,22,2,23,18
23,Capital                                 ,001,0009A,0135,374,3,4,2,4,7,1,177,11,4,3,1,19,4,16,21
23,Capital                                 ,001,0009A,0136,374,0,4,2,2,10,2,160,10,6,1,0,26,1,20,16
23,Capital                                 ,001,0009A,1371,389,3,4,5,5,10,2,135,14,4,3,2,26,4,14,28
23,Capital                                 ,001,0009A,1372,389,4,3,6,2,4,4,135,14,3,0,0,24,4,26,17
23,Capital                                 ,001,0009A,1373,389,1,3,4,2,8,1,130,8,13,0,1,28,1,17,19
23,Capital                                 ,001,0009A,1374,389,5,3,3,2,3,3,157,14,6,0,1,25,4,24,16
23,Capital                                 ,001,0009A,1375,389,3,5,5,2,13,1,121,17,4,0,0,35,3,20,19
23,Capital                                 ,001,0009A,1376,389,4,5,2,2,9,0,145,14,6,0,1,35,2,18,17
23,Capital                                 ,001,0009A,1377,389,6,7,2,4,8,3,141,8,4,0,0,27,1,21,8
23,Capital                                 ,001,0009A,1378,389,3,3,1,1,7,3,165,25,5,1,3,25,6,15,15
23,Capital                                 ,001,0009A,1379,388,2,6,3,0,12,1,155,14,9,1,1,27,5,25,10
23,Capital                                 ,001,0009A,1380,388,1,7,4,1,7,2,131,18,9,0,0,30,4,32,21
23,Capital                                 ,001,0009A,1381,388,7,9,3,1,7,1,128,12,6,0,2,30,2,19,28
23,Capital                                 ,001,0009A,1382,388,2,4,6,4,6,1,153,15,7,1,0,28,1,16,19
23,Capital                                 ,001,0010 ,0137,384,2,2,3,3,3,2,201,5,4,0,0,10,5,14,25
23,Capital                                 ,001,0010 ,0138,384,1,4,6,1,10,3,165,12,6,0,0,20,3,13,25
23,Capital                                 ,001,0010 ,0139,383,3,9,2,0,7,7,162,11,2,0,1,16,3,16,24
23,Capital                                 ,001,0010 ,0140,383,8,4,5,2,5,3,161,9,7,1,2,27,3,17,28
23,Capital                                 ,001,0010 ,0141,383,1,2,3,2,10,5,148,13,3,0,0,23,3,16,22
23,Capital                                 ,001,0010 ,0142,383,1,4,2,2,6,2,167,41,4,0,0,23,2,21,25
23,Capital                                 ,001,0010 ,0143,383,2,5,2,0,9,1,170,17,6,0,0,20,3,15,19
23,Capital                                 ,001,0010 ,0144,383,2,3,4,1,16,4,157,11,10,0,1,20,5,14,23
23,Capital                                 ,001,0010 ,0145,383,0,4,0,2,10,3,163,9,4,0,0,24,2,16,25
23,Capital                                 ,001,0010 ,0146,383,2,2,3,0,5,4,173,13,5,0,0,12,1,21,26
23,Capital                                 ,001,0010 ,0147,383,1,6,5,1,10,3,165,11,1,1,0,23,4,17,20
23,Capital                                 ,001,0010 ,0148,383,5,3,6,3,3,3,170,19,3,0,0,23,3,12,19
23,Capital                                 ,001,0010 ,0149,383,2,2,3,3,8,5,181,9,2,0,0,12,4,16,22
23,Capital                                 ,001,0010 ,0150,383,2,4,11,4,2,6,167,12,4,0,1,27,2,17,22
