codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0005,0022,0041,0054,0058,0071,0072,0160,0162,0163,0164
17,Capital                                 ,001,0002F,3094,410,4,7,3,15,5,8,6,17,5,0,1,32,81,61,1
17,Capital                                 ,001,0002F,3095,410,2,7,9,8,2,7,11,24,2,0,3,53,70,59,2
17,Capital                                 ,001,0002F,3096,410,5,3,11,9,2,7,3,22,3,0,2,52,85,65,2
17,Capital                                 ,001,0002F,3097,409,4,4,8,14,4,3,6,19,3,0,0,45,73,62,0
17,Capital                                 ,001,0002F,3098,409,8,0,7,10,5,5,2,28,7,0,1,55,74,45,4
17,Capital                                 ,001,0002F,3099,409,3,3,11,13,3,2,5,21,5,0,3,36,77,60,3
17,Capital                                 ,001,0002F,3100,409,3,11,4,11,8,4,2,23,3,0,2,43,66,63,2
17,Capital                                 ,001,0002G,1088,415,9,5,5,10,4,9,5,19,11,0,1,54,82,49,1
17,Capital                                 ,001,0002G,1089,415,1,4,5,17,5,8,5,25,2,0,3,45,67,53,3
17,Capital                                 ,001,0002G,1090,415,9,4,3,12,8,6,4,16,4,0,4,48,78,46,4
17,Capital                                 ,001,0002G,1091,414,7,3,11,14,4,0,5,20,2,0,7,50,72,54,4
17,Capital                                 ,001,0002G,1092,414,6,7,7,9,4,3,4,24,5,0,2,51,68,58,1
17,Capital                                 ,001,0002G,1093,414,7,8,2,6,4,5,4,23,2,0,2,54,74,47,2
17,Capital                                 ,001,0002G,1094,414,4,3,6,11,3,6,7,23,7,0,2,41,66,56,5
17,Capital                                 ,001,0002G,1095,414,11,0,6,16,4,4,5,20,5,0,1,54,62,49,5
17,Capital                                 ,001,0002G,1096,414,0,0,4,14,0,8,4,25,6,0,3,43,79,45,10
17,Capital                                 ,001,0002G,1097,414,0,0,4,12,4,9,6,33,3,0,0,42,73,33,2
17,Capital                                 ,001,0002G,1098,414,8,14,2,13,5,6,2,12,6,0,1,54,67,54,4
17,Capital                                 ,001,0002G,3101,435,0,10,14,15,5,2,8,19,6,0,4,45,94,53,2
17,Capital                                 ,001,0002G,3102,435,8,10,7,14,6,4,6,21,3,0,4,50,89,61,4
17,Capital                                 ,001,0002G,3103,435,12,4,8,12,6,7,6,20,10,0,2,43,84,72,4
17,Capital                                 ,001,0002G,3104,435,0,0,10,16,0,2,5,17,2,0,0,57,104,83,2
17,Capital                                 ,001,0002G,3105,435,6,7,7,14,5,4,7,34,4,0,2,56,86,61,0
17,Capital                                 ,001,0002G,3106,435,7,1,7,11,2,11,4,22,5,0,8,54,83,68,5
17,Capital                                 ,001,0002G,3107,435,4,9,5,17,4,2,4,25,4,0,0,50,116,77,4
17,Capital                                 ,001,0002G,3108,435,3,9,6,11,3,4,3,31,4,0,4,47,92,55,8
17,Capital                                 ,001,0002G,3109,435,0,0,8,10,4,4,9,21,1,0,59,59,107,60,2
17,Capital                                 ,001,0002G,3110,435,2,12,14,14,6,4,3,25,9,0,5,52,61,69,5
17,Capital                                 ,001,0002H,1099,334,6,7,4,10,1,3,3,19,4,0,2,28,56,40,0
17,Capital                                 ,001,0002H,1100,334,2,1,7,11,5,4,5,18,11,0,3,40,71,29,2
17,Capital                                 ,001,0002H,1101,334,3,1,3,16,2,7,3,11,7,0,7,35,58,42,4
17,Capital                                 ,001,0002H,3111,346,4,3,9,8,6,7,5,17,3,0,3,34,74,54,5
17,Capital                                 ,001,0002H,3112,346,3,8,6,12,3,3,1,18,5,0,1,42,81,44,1
17,Capital                                 ,001,0002H,3113,346,3,13,15,9,3,4,0,18,4,0,1,43,74,48,2
17,Capital                                 ,001,0002H,3114,346,4,2,9,10,7,6,7,15,2,0,3,39,70,45,4
17,Capital                                 ,001,0002I,1102,407,4,6,3,4,5,0,9,20,2,4,1,47,86,50,3
17,Capital                                 ,001,0002I,1103,407,8,7,4,15,2,2,4,33,8,0,1,65,70,49,4
17,Capital                                 ,001,0002I,1104,407,5,5,5,7,5,5,9,40,7,0,4,53,67,45,3
17,Capital                                 ,001,0002I,1105,407,6,0,4,7,2,0,10,31,7,0,3,60,84,48,6
17,Capital                                 ,001,0002I,1106,407,7,6,2,4,3,7,4,38,7,0,2,65,69,55,3
17,Capital                                 ,001,0002I,1107,407,7,10,3,6,4,5,10,30,7,0,1,65,64,52,3
17,Capital                                 ,001,0002I,1108,406,5,5,9,5,1,5,4,26,2,0,2,53,78,54,11
17,Capital                                 ,001,0002I,1109,406,4,3,3,5,6,4,5,22,6,0,7,57,70,58,5
17,Capital                                 ,001,0002I,1110,406,0,0,2,14,7,5,7,26,0,0,2,68,69,47,0
17,Capital                                 ,001,0002I,1111,406,0,3,4,9,6,3,5,27,5,0,4,51,71,62,2
17,Capital                                 ,001,0002I,1112,406,4,8,5,9,5,4,8,20,6,0,3,56,69,64,2
17,Capital                                 ,001,0002I,1113,406,5,6,2,9,3,2,6,28,1,0,1,3,74,51,2
17,Capital                                 ,001,0002I,3115,412,4,4,12,14,6,2,5,29,5,0,0,55,87,76,3
17,Capital                                 ,001,0002I,3116,412,3,10,2,9,8,6,10,29,7,0,0,82,69,82,7
