codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0022,0540,0045,0112,0119,0124,0130,0160,0501,0527,0536,0563
23,Capital,001,0009 ,1682,337,1,2,3,5,2,540,0,14,6,2,24,1,97,32,39,5
23,Capital,001,0009 ,1683,337,0,3,4,2,1,540,2,13,15,5,14,2,106,33,37,5
23,Capital,001,0009 ,1684,337,6,6,1,4,5,540,3,11,4,1,17,2,98,34,47,3
23,Capital,001,0009 ,1685,337,1,5,0,6,2,540,1,12,6,1,24,0,95,38,53,5
23,Capital,001,0009 ,1686,337,5,1,1,4,1,540,2,10,7,3,24,3,91,45,40,3
23,Capital,001,0009A,0143,345,3,6,0,3,3,540,1,10,10,2,32,0,126,41,33,8
23,Capital,001,0009A,0144,345,1,5,0,3,5,540,1,13,7,1,29,1,137,23,40,6
23,Capital,001,0009A,0145,345,5,4,3,4,2,540,1,6,2,1,34,2,127,27,35,1
23,Capital,001,0009A,0146,345,0,2,0,3,0,540,2,8,3,2,24,1,136,37,38,8
23,Capital,001,0009A,0147,345,0,4,0,7,1,540,1,11,1,1,22,1,109,34,52,8
23,Capital,001,0009A,0148,345,4,4,1,3,1,540,1,9,8,2,25,1,118,32,60,5
23,Capital,001,0009A,0149,345,2,6,0,6,1,540,1,14,9,2,31,1,118,16,36,4
23,Capital,001,0009A,0150,345,5,8,1,2,2,540,2,15,5,2,23,1,127,23,48,7
23,Capital,001,0009A,0151,345,1,2,1,1,1,540,0,10,12,3,28,2,124,27,52,10
23,Capital,001,0009A,0152,345,13,8,1,5,3,540,0,11,9,0,21,1,113,29,48,11
23,Capital,001,0009A,0153,345,1,8,3,3,1,540,1,7,8,5,29,0,118,21,43,11
23,Capital,001,0009A,0154,345,0,9,0,7,2,540,1,13,4,2,27,0,122,34,37,11
23,Capital,001,0009A,0155,345,2,6,1,3,2,540,0,13,4,2,29,2,114,27,44,4
