codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0022,0079,0083,0178,0185,0187,0262,0327,0503,0515,0525,0531,0567,0576,0580
01,Comuna 01,001,0006 ,0126,344,1,0,0,3,0,0,0,1,4,2,0,2,2,1,17,1,12,191
01,Comuna 01,001,0006 ,0127,344,4,0,1,0,0,0,0,0,8,0,0,2,6,1,14,3,16,190
01,Comuna 01,001,0006 ,0128,344,4,1,0,0,0,0,0,0,2,0,0,1,2,0,12,0,8,198
01,Comuna 01,001,0006 ,0129,344,3,0,0,0,2,0,0,1,4,2,0,3,4,0,14,1,14,185
01,Comuna 01,001,0006 ,0130,344,0,3,0,2,1,1,0,1,1,0,0,1,4,1,18,1,12,185
01,Comuna 01,001,0006 ,0131,344,0,5,0,1,0,0,0,0,3,0,0,3,4,0,17,1,9,190
01,Comuna 01,001,0006 ,0132,344,0,2,0,0,1,1,2,0,4,2,0,2,2,1,11,1,12,184
01,Comuna 01,001,0006 ,0133,344,0,1,0,0,0,0,0,0,7,1,1,6,5,0,20,0,12,186
01,Comuna 01,001,0006 ,0134,344,2,1,0,0,0,0,0,0,0,0,0,1,3,0,18,1,19,176
01,Comuna 01,001,0006 ,0135,344,4,3,0,1,0,0,1,0,1,0,1,5,5,1,23,0,18,184
01,Comuna 01,001,0006 ,0136,344,2,1,0,0,0,0,0,0,2,0,0,2,8,2,12,0,15,191
01,Comuna 01,001,0006 ,0137,343,4,1,0,1,1,0,0,0,3,1,0,2,2,0,11,0,10,202
01,Comuna 01,001,0006 ,0138,344,0,0,0,0,1,0,0,1,4,1,0,1,6,0,24,1,18,175
01,Comuna 01,001,0006 ,0139,344,0,0,0,1,0,0,2,0,2,0,1,2,3,0,16,0,12,185
01,Comuna 01,001,0006 ,0140,344,1,1,0,0,0,0,0,0,4,1,0,5,5,1,20,0,15,179
01,Comuna 01,001,0006 ,0141,344,1,2,0,1,1,3,0,1,2,1,0,4,8,3,9,1,16,187
01,Comuna 01,001,0006 ,0142,344,2,0,0,2,0,0,1,0,3,2,0,4,4,1,17,1,7,181
01,Comuna 01,001,0006 ,0143,344,0,1,0,0,1,0,0,1,1,1,0,4,5,0,8,1,16,199
01,Comuna 01,001,0007 ,0144,336,1,1,1,2,0,0,0,1,5,0,0,1,4,2,24,2,20,176
01,Comuna 01,001,0007 ,0145,336,1,1,1,0,0,1,1,0,5,0,0,0,6,0,16,1,18,184
01,Comuna 01,001,0007 ,0146,336,1,1,0,0,2,1,0,2,2,1,2,5,9,0,17,0,23,161
01,Comuna 01,001,0007 ,0147,336,4,4,0,0,0,0,0,0,10,0,2,11,2,1,26,2,20,165
01,Comuna 01,001,0007 ,0148,336,4,0,0,0,1,1,1,1,6,0,0,6,2,3,21,1,35,159
01,Comuna 01,001,0007 ,0149,336,1,4,0,0,0,0,0,0,3,0,0,7,5,2,19,1,19,170
01,Comuna 01,001,0007 ,0150,336,1,3,0,0,1,0,0,0,8,0,0,2,2,1,20,1,15,189
01,Comuna 01,001,0007 ,0151,336,1,2,1,1,1,0,1,1,6,0,0,4,4,2,22,0,24,173
01,Comuna 01,001,0007 ,0152,336,3,3,0,2,2,0,0,1,4,1,1,4,4,1,16,1,17,162
01,Comuna 01,001,0007 ,0153,336,2,2,0,1,0,0,0,0,4,2,0,9,10,1,20,0,20,158
01,Comuna 01,001,0007 ,0154,336,0,0,0,1,1,0,2,0,11,0,0,3,4,0,23,1,29,153
01,Comuna 01,001,0007 ,0155,336,0,0,2,0,0,1,0,0,6,0,1,6,8,2,25,1,27,127
01,Comuna 01,001,0007 ,0156,336,3,1,0,0,0,0,1,1,2,1,0,6,3,1,30,1,14,186
01,Comuna 01,001,0007 ,0157,336,2,0,0,0,0,1,0,0,1,0,0,4,4,1,21,0,26,179
01,Comuna 01,001,0007 ,0158,336,2,2,0,0,1,0,1,1,5,0,0,5,7,1,15,2,26,181
01,Comuna 01,001,0007 ,0159,336,2,0,0,1,0,0,0,0,4,1,0,3,3,0,22,0,27,174
01,Comuna 01,001,0007 ,0160,336,1,0,0,0,4,0,0,0,8,0,1,1,4,0,24,1,23,174
01,Comuna 01,001,0007 ,0161,336,1,1,0,2,2,0,0,0,6,0,0,7,3,2,9,0,20,177
01,Comuna 01,001,0007 ,0162,336,3,0,0,1,1,0,1,0,3,2,0,1,7,2,22,0,23,155
01,Comuna 01,001,0007 ,0163,335,1,2,2,1,0,0,1,0,8,0,0,3,9,2,24,1,36,156
01,Comuna 01,001,0007 ,0164,335,2,6,1,1,0,1,0,0,4,1,0,5,7,1,32,0,20,146
01,Comuna 01,001,0007 ,0165,335,1,0,0,1,0,0,1,0,4,3,1,4,9,2,18,0,19,155
01,Comuna 01,001,0007 ,0166,335,0,0,0,0,1,3,1,0,9,1,0,3,0,2,21,1,21,166
01,Comuna 01,001,0007 ,0167,335,1,2,0,0,0,0,0,1,5,3,0,3,5,1,19,2,26,164
01,Comuna 01,001,0008 ,0168,339,2,4,0,0,0,0,0,1,6,0,0,4,8,3,23,0,33,134
01,Comuna 01,001,0008 ,0169,339,0,1,0,0,2,0,1,0,7,1,0,6,6,4,24,2,29,122
01,Comuna 01,001,0008 ,0170,339,5,1,0,0,0,1,0,0,9,0,0,3,9,1,22,4,29,129
01,Comuna 01,001,0008 ,0171,339,2,1,0,1,1,0,0,0,6,1,0,3,4,2,19,1,36,141
01,Comuna 01,001,0008 ,0172,339,1,4,0,2,1,0,1,1,4,2,0,5,6,0,18,1,30,145
01,Comuna 01,001,0008 ,0173,339,0,1,0,0,2,1,2,4,9,0,0,7,5,0,17,1,37,124
01,Comuna 01,001,0008 ,0174,339,0,3,1,2,1,0,0,1,6,0,1,4,5,3,22,0,28,145
01,Comuna 01,001,0008 ,0175,338,2,2,0,0,1,0,1,0,9,0,0,2,7,1,23,2,16,151
01,Comuna 01,001,0008 ,0176,339,2,3,0,1,0,1,1,2,6,1,0,1,4,1,24,1,36,131
01,Comuna 01,001,0008 ,0177,338,3,3,0,0,2,1,1,0,7,0,0,4,5,1,23,1,25,131
01,Comuna 01,001,0008 ,0178,338,5,3,0,0,0,0,0,0,4,1,1,5,8,0,21,0,28,129
01,Comuna 01,001,0008 ,0179,338,0,1,0,0,0,0,0,1,4,0,0,2,5,2,22,0,29,133
01,Comuna 01,001,0008 ,0180,338,4,4,0,2,0,0,1,1,6,0,0,4,5,2,8,2,24,133
01,Comuna 01,001,0008 ,0181,338,5,3,0,0,0,1,0,0,7,0,0,7,11,1,24,1,21,151
01,Comuna 01,001,0008 ,0182,338,2,3,0,2,0,2,1,0,9,1,0,1,6,2,24,1,36,145
01,Comuna 01,001,0008 ,0183,338,4,2,0,2,0,0,1,1,5,0,1,6,3,1,21,2,43,122
01,Comuna 01,001,0008 ,0184,339,1,0,0,0,0,0,0,0,8,0,1,7,4,0,17,2,22,147
01,Comuna 01,001,0008 ,0185,338,3,1,0,3,4,1,0,2,5,0,0,1,6,3,19,1,21,157
01,Comuna 01,001,0008 ,0186,337,1,0,0,3,0,0,1,0,5,0,0,3,8,0,24,2,26,135
01,Comuna 01,001,0008 ,0187,338,2,1,0,0,0,0,1,0,5,0,0,4,0,0,22,2,28,144
01,Comuna 01,001,0008 ,0188,338,2,6,0,0,0,0,1,1,9,0,0,4,10,0,19,1,38,125
01,Comuna 01,001,0008 ,0189,338,2,0,0,1,5,0,1,1,12,0,0,7,6,3,19,2,35,124
