codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0501,0548
09,Formosa,001,0018 ,0185,330,2,0,161,83
09,Formosa,001,0018 ,0682,354,15,0,170,67
09,Formosa,001,0018 ,0683,353,6,0,179,70
09,Formosa,001,0018A,0186,38,0,3,6,1
09,Formosa,001,0019 ,0187,276,0,1,151,68
09,Formosa,001,0019 ,0188,275,4,0,151,70
09,Formosa,001,0019 ,0685,296,3,0,169,61
09,Formosa,001,0019 ,0686,295,3,1,162,71
09,Formosa,001,0020 ,0189,100,1,1,27,26
09,Formosa,001,0021 ,0190,409,0,0,0,0
09,Formosa,001,0021 ,0688,225,6,5,81,51
09,Formosa,001,0021 ,0689,225,5,0,83,50
09,Formosa,001,0021A,0191,56,4,0,40,4
09,Formosa,001,0021A,0690,99,2,1,46,14
09,Laishi,002,0022 ,0192,403,2,0,244,87
09,Laishi,002,0022 ,0193,403,7,0,239,69
09,Laishi,002,0022 ,0194,403,1,2,241,74
09,Laishi,002,0022 ,0691,354,8,3,179,69
09,Laishi,002,0022 ,0692,353,32,2,168,55
09,Laishi,002,0022 ,0693,353,2,8,186,49
09,Laishi,002,0022 ,0694,353,10,0,192,43
09,Laishi,002,0022A,0195,269,2,4,144,45
09,Laishi,002,0022A,0695,352,4,3,155,74
09,Laishi,002,0022B,0196,129,2,0,51,24
09,Laishi,002,0022B,0696,187,5,1,72,42
09,Laishi,002,0022C,0197,43,0,0,6,2
09,Laishi,002,0023 ,0198,299,2,0,186,54
09,Laishi,002,0023 ,0199,299,1,4,189,50
09,Laishi,002,0023 ,0698,310,1,2,201,46
09,Laishi,002,0023 ,0699,309,3,0,213,28
09,Laishi,002,0023A,0200,199,1,0,88,20
09,Laishi,002,0023A,0700,225,1,3,105,21
09,Laishi,002,0023B,0201,20,0,0,0,0
09,Laishi,002,0023C,0202,393,18,3,268,47
09,Laishi,002,0023C,0203,392,1,2,254,41
09,Laishi,002,0023C,0204,392,2,12,280,43
09,Laishi,002,0023C,0702,413,3,0,247,47
09,Laishi,002,0023C,0703,412,10,4,245,69
09,Laishi,002,0023C,0704,412,11,1,237,67
09,Laishi,002,0024 ,0205,364,0,0,213,70
09,Laishi,002,0024 ,0206,364,0,1,221,65
09,Laishi,002,0024 ,0207,364,1,2,227,54
09,Laishi,002,0024 ,0208,364,2,1,222,58
09,Laishi,002,0024 ,0209,364,0,0,204,58
09,Laishi,002,0024 ,0210,364,6,1,222,59
09,Laishi,002,0024 ,0705,382,0,1,221,59
09,Laishi,002,0024 ,0706,382,7,0,202,57
09,Laishi,002,0024 ,0707,382,6,0,213,56
09,Laishi,002,0024 ,0708,382,12,2,223,54
09,Laishi,002,0024 ,0709,382,1,0,211,50
09,Laishi,002,0024 ,0710,382,5,0,202,58
09,Laishi,002,0024A,0211,122,0,1,29,26
09,Laishi,002,0024A,0711,140,0,0,37,31
09,Laishi,002,0024B,0212,77,0,0,29,5
09,Pilcomayo,003,0025 ,0213,128,1,0,28,10
09,Pilcomayo,003,0025 ,0713,145,5,2,23,30
09,Pilcomayo,003,0026 ,0214,405,6,54,200,64
09,Pilcomayo,003,0026 ,0215,405,4,0,244,69
09,Pilcomayo,003,0026 ,0216,405,7,0,253,54
09,Pilcomayo,003,0026 ,0217,405,7,2,239,51
09,Pilcomayo,003,0026 ,0218,405,4,1,246,63
09,Pilcomayo,003,0026 ,0219,404,2,2,235,60
09,Pilcomayo,003,0026 ,0714,423,11,2,254,60
09,Pilcomayo,003,0026 ,0715,423,5,0,243,58
09,Pilcomayo,003,0026 ,0716,423,9,2,230,72
09,Pilcomayo,003,0026 ,0717,423,14,0,230,75
09,Pilcomayo,003,0026 ,0718,423,6,2,234,51
09,Pilcomayo,003,0026 ,0719,423,13,3,238,58
09,Pilcomayo,003,0026A,0220,136,1,3,39,34
09,Pilcomayo,003,0026A,0720,173,0,1,33,60
09,Pilcomayo,003,0026B,0221,87,1,4,19,9
09,Pilcomayo,003,0027 ,0222,34,0,0,0,0
09,Pilcomayo,003,0028 ,0223,313,4,0,202,22
09,Pilcomayo,003,0028 ,0224,312,6,0,227,23
09,Pilcomayo,003,0028 ,0225,312,6,1,208,21
09,Pilcomayo,003,0028 ,0723,354,8,0,234,13
09,Pilcomayo,003,0028 ,0724,353,6,1,244,18
09,Pilcomayo,003,0028 ,0725,353,33,0,189,28
09,Pilcomayo,003,0028A,0226,50,0,0,12,8
09,Pilcomayo,003,0028A,0726,75,2,0,16,11
09,Pilcomayo,003,0028B,0227,226,2,0,78,59
09,Pilcomayo,003,0028B,0727,212,4,0,55,56
09,Pilcomayo,003,0029 ,0228,388,3,4,199,83
09,Pilcomayo,003,0029 ,0229,388,8,2,192,87
09,Pilcomayo,003,0029 ,0230,388,1,5,190,67
09,Pilcomayo,003,0029 ,0231,388,3,3,185,93
09,Pilcomayo,003,0029 ,0232,388,7,3,200,67
09,Pilcomayo,003,0029 ,0233,388,7,4,205,80
09,Pilcomayo,003,0029 ,0234,387,10,4,209,70
09,Pilcomayo,003,0029 ,0235,387,12,2,179,94
09,Pilcomayo,003,0029 ,0728,429,5,8,231,62
09,Pilcomayo,003,0029 ,0729,429,5,2,198,72
09,Pilcomayo,003,0029 ,0730,428,2,18,199,75
09,Pilcomayo,003,0029 ,0731,428,10,0,215,78
09,Pilcomayo,003,0029 ,0732,428,5,10,203,83
09,Pilcomayo,003,0029 ,0733,428,7,2,180,84
09,Pilcomayo,003,0029 ,0734,428,5,4,200,90
09,Pilcomayo,003,0029A,0236,85,0,1,23,13
09,Pilcomayo,003,0029A,0735,101,0,0,39,11
09,Pilcomayo,003,0030 ,0237,408,3,2,194,92
09,Pilcomayo,003,0030 ,0238,408,3,0,199,101
09,Pilcomayo,003,0030 ,0239,408,4,0,179,112
09,Pilcomayo,003,0030 ,0240,407,2,0,180,118
09,Pilcomayo,003,0030 ,0241,407,10,1,156,117
09,Pilcomayo,003,0030 ,0242,407,5,1,181,101
09,Pilcomayo,003,0030 ,0736,403,13,0,154,107
09,Pilcomayo,003,0030 ,0737,403,4,5,157,107
09,Pilcomayo,003,0030 ,0738,403,2,4,161,102
09,Pilcomayo,003,0030 ,0739,403,2,1,151,118
09,Pilcomayo,003,0030 ,0740,403,3,5,148,116
09,Pilcomayo,003,0030 ,0741,403,6,0,144,105
09,Pilcomayo,003,0030 ,0742,403,9,0,151,103
09,Pilcomayo,003,0030A,0243,88,1,1,30,22
09,Pilcomayo,003,0030A,0743,77,0,0,15,22
09,Pilcomayo,003,0031 ,0244,139,0,0,60,27
09,Pilcomayo,003,0031 ,0744,189,1,1,65,31
09,Pilcomayo,003,0031A,0245,292,3,3,98,64
09,Pilcomayo,003,0031A,0745,348,5,2,80,96
09,Pilcomayo,003,0031B,0246,312,11,3,124,54
09,Pilcomayo,003,0031B,0746,419,7,3,114,118
09,Pilcomayo,003,0032 ,0247,433,19,1,209,85
09,Pilcomayo,003,0032 ,0248,433,15,2,207,79
09,Pilcomayo,003,0032 ,0249,433,12,13,216,52
09,Pilcomayo,003,0032 ,0250,433,14,4,220,60
09,Pilcomayo,003,0032 ,0251,433,16,11,205,68
09,Pilcomayo,003,0032 ,0252,433,5,1,213,68
09,Pilcomayo,003,0032 ,0253,433,5,13,203,80
09,Pilcomayo,003,0032 ,0254,433,15,0,230,65
09,Pilcomayo,003,0032 ,0255,433,0,0,0,0
09,Pilcomayo,003,0032 ,0256,433,19,5,209,73
09,Pilcomayo,003,0032 ,0257,433,21,2,185,81
09,Pilcomayo,003,0032 ,0258,433,3,6,207,64
09,Pilcomayo,003,0032 ,0259,432,15,3,207,73
09,Pilcomayo,003,0032 ,0260,432,29,2,180,77
09,Pilcomayo,003,0032 ,0261,432,16,0,221,59
09,Pilcomayo,003,0032 ,0262,432,18,6,205,72
09,Pilcomayo,003,0032 ,0263,432,15,3,198,93
09,Pilcomayo,003,0032 ,0264,432,12,8,193,78
09,Pilcomayo,003,0032 ,0265,432,19,1,184,63
09,Pilcomayo,003,0032 ,0266,432,0,0,0,0
09,Pilcomayo,003,0032 ,0267,432,16,9,211,67
09,Pilcomayo,003,0032 ,0268,432,5,3,226,62
09,Pilcomayo,003,0032 ,0269,432,18,3,182,96
09,Pilcomayo,003,0032 ,0270,432,18,3,204,80
09,Pilcomayo,003,0032 ,0271,432,7,9,207,93
09,Pilcomayo,003,0032 ,0272,432,14,4,205,68
09,Pilcomayo,003,0032 ,0273,432,27,2,195,73
09,Pilcomayo,003,0032 ,0274,432,12,2,212,68
09,Pilcomayo,003,0032 ,0275,432,2,12,232,67
