codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0009,0014,0019,0020,0026,0030,0036,0037,0038,0044,0045,0050,0132,0134,0136,0154,0189,0190,0191,0192
21,Caseros                                 ,002,0371 ,0104,450,43,0,21,28,1,0,22,0,11,0,4,1,0,0,148,0,69,3,0,10,2,1,0
21,Caseros                                 ,002,0371 ,0105,450,42,0,26,13,3,1,25,1,9,0,0,0,0,1,167,0,62,2,0,14,2,0,0
21,Caseros                                 ,002,0371 ,0106,450,0,0,30,17,0,0,15,0,3,1,0,1,1,1,159,2,55,3,1,8,0,0,0
21,Caseros                                 ,002,0371 ,0107,450,0,0,0,0,0,0,0,0,0,0,0,1,0,0,131,0,84,3,0,5,0,0,0
21,Caseros                                 ,002,0371 ,0108,217,3,0,15,5,0,0,10,1,3,0,1,0,0,0,64,0,40,1,0,9,1,0,0
21,Caseros                                 ,002,0372 ,0104,450,16,2,4,17,1,0,31,1,1,2,2,1,1,0,97,3,126,2,0,23,10,0,1
21,Caseros                                 ,002,0372 ,0105,256,33,0,7,25,2,1,22,1,0,0,2,2,0,0,48,1,61,1,4,3,2,1,1
21,Caseros                                 ,002,0372 ,0109,450,51,0,5,16,0,0,24,2,1,0,2,1,1,0,108,3,120,3,0,16,7,1,0
21,Caseros                                 ,002,0372 ,0110,254,29,0,5,13,0,0,13,1,1,0,2,2,0,2,60,0,56,3,0,12,3,0,0
21,Caseros                                 ,002,0373 ,0106,450,54,0,8,31,1,0,26,0,3,0,2,1,1,1,107,2,136,6,1,7,2,0,1
21,Caseros                                 ,002,0373 ,0107,375,33,0,8,22,0,0,31,1,4,0,3,1,0,0,89,0,95,5,0,15,0,1,2
21,Caseros                                 ,002,0373 ,0111,450,25,0,15,5,2,1,20,0,7,0,0,0,1,0,129,0,133,3,1,23,0,0,1
21,Caseros                                 ,002,0373 ,0112,352,30,0,8,13,2,0,14,1,3,1,0,2,3,0,99,0,86,6,0,16,1,0,0
21,Caseros                                 ,002,0374 ,0108,450,26,0,22,18,2,0,48,0,10,0,1,5,3,1,94,2,78,2,0,27,3,0,2
21,Caseros                                 ,002,0374 ,0109,450,7,4,0,49,6,1,0,2,12,0,0,3,1,2,104,1,82,7,0,15,0,2,0
21,Caseros                                 ,002,0374 ,0110,175,16,0,7,20,0,0,15,0,4,1,1,0,0,1,24,0,34,2,0,8,1,0,0
21,Caseros                                 ,002,0374 ,0113,450,32,2,15,38,3,0,28,0,7,0,0,1,0,1,127,0,60,3,2,12,2,0,0
