"231","BRAWER, Mara","Cdad.Aut.Bs.As.","#FFCCCC","A50706.jpg"
"232","BREARD, Noel Eugenio","Corrientes","#CCFFFF","A4167.jpg"
"233","BREGMAN, Myriam","Buenos Aires","#FFCCCC","A50889.jpg"
"234","BRESER, Adalberto Edgardo","Buenos Aires","#CCFFFF",
"235","BREZZO, María Eugenia","Córdoba","#FFCCCC","A51011.jpg"
"236","BRILLO, José Ricardo","Neuquén","#CCFFFF","A4516.jpg"
"237","BRIOZZO, Alberto Nicolas","Buenos Aires","#CCFFFF",
"238","BRITEZ, María Cristina","Misiones","#FFCCCC","A50955.jpg"
"239","BRITOS, Oraldo Norvel","San Luis","#CCFFFF",
"240","BRIZUELA DEL MORAL, Eduardo Segundo","Catamarca","#CCFFFF","A50805.jpg"
"241","BRIZUELA Y DORIA DE CARA, Olga Inés","La Rioja","#FFCCCC","A50733.jpg"
"242","BROMBERG, Isaac Benjamín","Tucumán","#CCFFFF","A50765.jpg"
"243","BROOK, Mario Carlos","Córdoba","#CCFFFF",
"244","BROWN, Carlos Ramón","Buenos Aires","#CCFFFF","A50686.jpg"
"245","BRUE, Daniel Agustín","Santiago del Estero","#CCFFFF","A4539.jpg"
"246","BRÜGGE, Juan Fernando","Córdoba","#CCFFFF","A51013.jpg"
"247","BRUNATI, Luis Pedro","Buenos Aires","#CCFFFF",
"248","BRUNELLI, Naldo Raul Adalberto","Buenos Aires","#CCFFFF",
"249","BRUZZO, Omar Obdulio","Buenos Aires","#CCFFFF",
"250","BUCCO, Jorge Luis","Córdoba","#CCFFFF",
"251","BUIL, Sergio Omar","Buenos Aires","#CCFFFF","A50908.jpg"
"252","BULACIO, Nancy Evangelina","Tucumán","#FFCCCC","A4594.jpg"
"253","BULACIO, Rafael Alfredo","Tucumán","#CCFFFF",
"254","BULLRICH, Esteban","Cdad.Aut.Bs.As.","#CCFFFF","A4471.jpg"
"255","BULLRICH, Patricia","Cdad.Aut.Bs.As.","#FFCCCC","A4665.jpg"
"256","BURGOS, María Gabriela","Jujuy","#FFCCCC","A50836.jpg"
"257","BURYAILE, Ricardo","Formosa","#CCFFFF","A4757.jpg"
"258","BURZACO, Eugenio","Buenos Aires","#CCFFFF","A4459.jpg"
"259","BUSSI, Antonio Domingo","Tucumán","#CCFFFF",
"260","BUSSI, Ricardo Argentino","Tucumán","#CCFFFF",
"261","BUSTI, Jorge Pedro","Entre Ríos","#CCFFFF",
"262","CABALLERO MARTIN, Carlos Aurelio","Santa Fe","#CCFFFF",
"263","CABANDIE, Juan","Cdad.Aut.Bs.As.","#CCFFFF","A50809.jpg"
"264","CABIRON, Juan Carlos","Buenos Aires","#CCFFFF",
"265","CABRERA, Gerardo","Santa Fe","#CCFFFF",
"266","CACERES, Eduardo Augusto","San Juan","#CCFFFF","A50857.jpg"
